title,doi,target
Application of Flow and Biocatalytic Transaminase Technology for the Synthesis of a 1-Oxa-8-azaspiro[4.5]decan-3-amine,10.1021/acs.oprd.1c00075,CC(OC(N1CCC2(OCC(N)C2)CC1)=O)(C)C
Development of a Safe and Scalable Process for the Production of a High-Purity Thiocarbamate-Based Ionizable Lipid as an Excipient in mRNA-Encapsulating Lipid Nanoparticles,10.1021/acs.oprd.1c00076,CCCCCCCC(OC(CCCN(C(SCCCN(C)C)=O)CCCC(OC(CCCCCCC)CCCCCCC)=O)=O)CCCCCCC
Development of the Late-Phase Manufacturing Process of ZPL389: Control of Process Impurities by Enhanced Process Knowledge,10.1021/acs.oprd.1c00077,CNC1CN(C2N=C(N)N=C(NCC3CC3)C=2)CC1
Extended Solution-phase Peptide Synthesis Strategy Using Isostearyl-Mixed Anhydride Coupling and a New C-Terminal Silyl Ester-Protecting Group for <i>N</i>-Methylated Cyclic Peptide Production,10.1021/acs.oprd.1c00078,CCC(C(N(C(C(N(C(C(NC(C(NC(C(NC(CCl)=O)CC1C=CC=CC=1)=O)C)=O)CCCCNC(OC(C)(C)C)=O)=O)C)CC(C)C)=O)C)C(OC)CC(N1C(C(NC(C(N)=O)CS[Tl])=O)CCC1)=O)C
Improved Multigram Route to a Tricyclic Key Intermediate for Dibenzosuberone-Based p38 Inhibitors via an Optimized Early-Stage Heck Coupling,10.1021/acs.oprd.1c00081,C1C2C=CC(O)=CC=2C(=O)C2C=CC(Cl)=CC=2C1
"Evaluation, Method Development, and Validation for Content Determination of Potential Genotoxic Impurities (PGIs) at the TTC Level in Telmisartan API",10.1021/acs.oprd.1c00086,CCCC1N(CC2C=CC(C3C=CC=CC=3C(O)=O)=CC=2)C2C(=C(C=C(C3N(C)C4C=CC=CC=4N=3)C=2)C)N=1
Development of Two Synthetic Approaches to an APJ Receptor Agonist Containing a Tetra-<i>ortho-</i>Substituted Biaryl Pyridone,10.1021/acs.oprd.1c00088,CCOCC1NC(=O)C(C2OC(CC3C=CC(Cl)=CN=3)=NN=2)=C(O)C=1C1C(OC)=CC=CC=1OC
"Development of a Stereoselective Synthesis of (1<i>R</i>,4<i>R</i>)- and (1<i>S</i>,4<i>S</i>)-2-Oxa-5-azabicyclo[2.2.2]octane",10.1021/acs.oprd.1c00098,C1NC2CCC1OC2
"New Scalable Synthetic Routes to <b>ELQ-300</b>, <b>ELQ-316</b>, and Other Antiparasitic Quinolones",10.1021/acs.oprd.1c00099,CC1NC2C(=CC(Cl)=C(OC)C=2)C(=O)C=1C1C=CC(OC2C=CC(OC(F)(F)F)=CC=2)=CC=1
"A Review on Synthetic Advances toward the Synthesis of Apremilast, an Anti-inflammatory Drug",10.1021/acs.oprd.1c00107,CCOC1C=C(C(N2C(=O)C3C(=CC=CC=3NC(C)=O)C2=O)CS(C)(=O)=O)C=CC=1OC
On-Demand Continuous Manufacturing of Ciprofloxacin in Portable Plug-and-Play Factories: Development of a Highly Efficient Synthesis for Ciprofloxacin,10.1021/acs.oprd.1c00118,CCOC(/C(/C(C1C(F)=CC(F)=C(F)C=1)=O)=C\NC1CC1)=O
Streamlined Synthesis of a Bicyclic Amine Moiety Using an Enzymatic Amidation and Identification of a Novel Solid Form,10.1021/acs.oprd.1c00120,CCOC(C(Br)CCC(Br)C(OCC)=O)=O
Development of a Scalable Synthetic Route to BMS-986251. Part 1: Synthesis of the Cyclohexane Dicarboxylate Fragment,10.1021/acs.oprd.1c00124,CC1C(C(N2C3C(S(C4C=CC(F)=CC=4)(=O)=O)(C4C(CC3)=CC(C(F)(C(F)(F)F)C(F)(F)F)=CC=4)CC2)=O)CCC(C(O)=O)C1
Process Development of a Second Generation β-Amyloid-Cleaving Enzyme Inhibitor—Improving the Robustness of a Halogen-Metal Exchange Using Continuous Stirred-Tank Reactors,10.1021/acs.oprd.1c00126,CC1OCC(C2SC=C(N)N=2)2C(CSC(NC(C3C=CC=CC=3)=O)=N2)C1
Application of Continuous Flow in Tazobactam Synthesis,10.1021/acs.oprd.1c00127,CC1(S(=O)(=O)C2N(C(C2)=O)C1C(O)=O)CN1N=NC=C1
Harnessing the Power of Catalysis for the Synthesis of CRTH2 Antagonist MK-1029,10.1021/acs.oprd.1c00128,C1C=C2C(CC(O)=O)=C3N(C2=C(F)C=1)CC(N1N=NC=C1CC1C=CC(F)=CC=1)CC3
Catalyst-Free and Scalable Process for Synthesis of Novel MAP4K4 Inhibitor DMX-5804 and Its Glyco-Conjugates,10.1021/acs.oprd.1c00130,COCCOC1C=CC(C2C3C(NC=NC=3N(C3C=CC=CC=3)C=2)=O)=CC=1
Development of a Recycling Process for an Industrial-Scale Production of Tipifarnib,10.1021/acs.oprd.1c00132,CN1C(C(N)(C2C=C3C(C4C=CC=C(Cl)C=4)=CC(N(C)C3=CC=2)=O)C2C=CC(Cl)=CC=2)=CN=C1
Development and Scale-Up of an Asymmetric Synthesis of AZD8186 Using the Fukuyama Modification of the Mitsunobu Reaction,10.1021/acs.oprd.1c00133,CC(NC1C=C(F)C=C(F)C=1)C1C=C(C(N(C)C)=O)C=C2C(C=C(OC=12)N1CCOCC1)=O
Six-Step Gram-Scale Synthesis of the Human Immunodeficiency Virus Integrase Inhibitor Dolutegravir Sodium,10.1021/acs.oprd.1c00139,CC1N2C(CN3C([S])=C(C(NCC4C(F)=CC(F)=CC=4)=O)C(=O)C(O)=C3C2=O)OCC1
Efficient Synthesis of a Key Intermediate for Baloxavir Marboxil from a Greener Starting Material: Ethylene Glycol,10.1021/acs.oprd.1c00141,C1C=CC(COC2C(=O)C=CN3C=2C(N2C(=N3)COCC2)=O)=CC=1
"Development of a Stereoselective and Scalable Synthesis for the Potent Indoleamine 2,3-Dioxygenase 1 (IDO1) Inhibitor, BMT-297376; <i>N</i>-((<i>R</i>)-1-((<i>cis</i>)-4-(3-(Difluoromethyl)-2-methoxypyridin-4-yl)cyclohexyl)propyl)-6-methoxynicotinamide",10.1021/acs.oprd.1c00142,CCC(NC(C1C=CC(OC)=NC=1)=O)C1CCC(C2C(C(F)F)=C(OC)N=CC=2)CC1
Development of a Practical Manufacturing Process to Relebactam via Thorough Understanding of the Origin and Control of Oligomeric Impurities,10.1021/acs.oprd.1c00149,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)NC3CCNCC3
Kilogram-Scale Synthesis of 2′-<i>C</i>-Methyl-<i>arabino</i>-Uridine from Uridine via Dynamic Selective Dipivaloylation,10.1021/acs.oprd.1c00175,CC(OC(C(NP(OC1C=CC=CC=1)(OCC1OC(N2C(=O)NC(=O)C=C2)C(C)(Cl)C1O)=O)C)=O)C
Facile and Cost-Effective Route for the Synthesis of Simmerafil,10.1021/acs.oprd.1c00184,CCCOC1C(C2NC(=O)C(CC)=C(CC)N=2)=CC(NC(CN2CCN(C)CC2)=O)=CC=1
A Holistic Strategy for Cyanide Control and Safety for Pharmaceutical Manufacturing,10.1021/acs.oprd.1c00185,CC([Hg])C1C=C(OC)C(S(N)(=O)=O)=CC=1OC1C=NC(N)=NC=1N
Early Development and Kilogram Scale-Up of a Non-steroidal FXR Agonist for the Treatment of Non-alcoholic Steatohepatitis (NASH),10.1021/acs.oprd.1c00193,C1C(C2ON=C(C3C(Cl)=CC(F)=CC=3Cl)C=2COC2C=CC(C(O)3CN(C4N=CC(C(O)=O)=CC=4F)C3)=C(Cl)C=2)C1
Practical Synthesis of (+)-Biotin Key Intermediate by Calcium Borohydride Reduction and Temperature-Dependent Purity Upgrade during Crystallization,10.1021/acs.oprd.1c00196,CC(C1C=CC=CC=1)N1C(=O)C2N(C(N(CC3C=CC=CC=3)C2C1=O)=O)CC1C=CC=CC=1
"Accelerated Development of a Scalable Synthesis of CY6463, a CNS-Penetrant sGC Stimulator for the Treatment of Neurodegenerative Diseases",10.1021/acs.oprd.1c00204,C1C=C(CC2C3N(C=CN=3)C=C(C3NN=C(C(F)(F)F)N=3)N=2)C(F)=CC=1
Unconventional Synthetic Process of Fasudil Hydrochloride: Costly Homopiperazine Was Avoided,10.1021/acs.oprd.1c00211,C1C=C(S(N2CCNCCC2)(=O)=O)C2C(=CN=CC=2)C=1
"Toward a Practical, Nonenzymatic Process for Investigational COVID-19 Antiviral Molnupiravir from Cytidine: Supply-Centered Synthesis",10.1021/acs.oprd.1c00219,CC(C(OCC1OC(N2C(=O)N=C(NO)C=C2)C(O)C1O)=O)C
Synthesis of BACE1 Inhibitors <b>E2609</b>/<b>E2071</b> via Oxime–Olefin Cycloaddition Following a Process Risk Mitigation Strategy,10.1021/acs.oprd.1c00223,FC1=CC=C(NC(C2=NC=C(C(F)F)N=C2)=O)C=C1[C@@]3(N=C(N)SC4)[C@@]4([H])[C@@H](C)OC3
Crystallization-Based Synthetic Route to Antimalarial Agent BRD5018: Diazocene Ring Formation via a Staudinger-aza-Wittig Reaction on an Azetidine-Ribose Template,10.1021/acs.oprd.1c00225,CN(C)C[C@@H]1[C@@](C2=CC=C(C=C2)C#CC3=CC=CC=C3)([H])[C@@]4([H])N1C[C@@H]([C@@H](CN(C4)C(NC5=CC=C(C=C5)OC)=O)O)O
"Scalable Process for Making 5,7-Dichlorotetrahydroisoquinoline-6-carboxylic Acid Using Methylene as the Protecting Group",10.1021/acs.oprd.1c00229,C1C2C(=CC(Cl)=C(C(O)=O)C=2Cl)CNC1
"Preparative Synthesis of an <i>R</i><sub>P</sub>-Guanosine-3′,5′-Cyclic Phosphorothioate Analogue, a Drug Candidate for the Treatment of Retinal Degenerations",10.1021/acs.oprd.1c00230,C1N2C(=NC3N(C4OC5COP(OC5C4O)([O-])=S)C(Br)=NC=3C2=O)NC=1C1C=CC=CC=1
"Manufacturing Process Development for Belzutifan, Part 4: Nitrogen Flow Criticality for Transfer Hydrogenation Control",10.1021/acs.oprd.1c00231,CS(=O)(=O)C1=C2[C@@H]([C@@H]([C@@H](C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O
Development of a Commercial Process for Odalasvir,10.1021/acs.oprd.1c00237,COC(N[C@@H](C(C)C)C(N1[C@H](C2=NC3=CC=C(C4=CC5=CC=C4CCC6=CC=C(CC5)C(C7=CC=C(N=C([C@H]8N([C@]9([H])[C@](CCCC9)([H])C8)C([C@H](C(C)C)NC(OC)=O)=O)N%10)C%10=C7)=C6)C=C3N2)C[C@@]%11([H])[C@]1([H])CCCC%11)=O)=O
Development and Scale-Up of a Novel Photochemical C–N Oxidative Coupling,10.1021/acs.oprd.1c00244,CC1C=C(C(C2C(=O)CCCC2=O)=O)C(=O)N(C2C=C(OC)C(OC)=CC=2)N=1
Synthesis of Fingolimod Employing Regioselective Aziridine Ring-Opening Reaction as a Key Step,10.1021/acs.oprd.1c00248,CC(OC(N1C2(COC(C)(C)OC2)C1)=O)(C)C
Enzyme Optimization and Process Development for a Scalable Synthesis of (<i>R</i>)-2-Methoxymandelic Acid,10.1021/acs.oprd.1c00250,COC1C=CC=CC=1C(O)C(O)=O
Fully Continuous Flow Synthesis of 5-(Aminomethyl)-2-methylpyrimidin-4-amine: A Key Intermediate of Vitamin B<sub>1</sub>,10.1021/acs.oprd.1c00253,CC1N=CC(CN)=C(N)N=1
Application of Biocatalytic Reductive Amination for the Synthesis of a Key Intermediate to a CDK 2/4/6 Inhibitor,10.1021/acs.oprd.1c00255,CC(O)1C(N2C(=O)C(C(F)F)=CC3C=NC(NC4CCN(S(C)(=O)=O)CC4)=NC2=3)CCC1
Safety Assessments Supporting Scale-up of Chemistry Involving Hydrogen,10.1021/acs.oprd.1c00256,CS(C1C2C(O)C(F)C(O)C=2C(OC2C=C(C#N)C=C(F)C=2)=CC=1)(=O)=O
Development of an Intrinsically Safer Methanolysis/Aromatic Nitro Group Reduction for Step 1 and 2 of Talazoparib Tosylate,10.1021/acs.oprd.1c00259,CN1N=CN=C1C1C(=O)C2C(C(OC)=O)=CC(F)=CC=2NC1C1C=CC(F)=CC=1
First-Generation Asymmetric Synthesis of the Selective Estrogen Receptor Degrader GDC-9545 (Giredestrant) Featuring a Highly Efficient Pictet–Spengler Reaction and a C–N Coupling Reaction,10.1021/acs.oprd.1c00262,CC(NCC(F)(F)CO)CC1C2C=CC=CC=2NC=1
Efficient Manufacturing Process for the Selective Estrogen Receptor Degrader GDC-9545 (Giredestrant) via a Crystallization-Driven Diastereoselective Pictet–Spengler Condensation,10.1021/acs.oprd.1c00263,OCC(F)(F)CN([C@@H]1C2=C(F)C=C(NC3CN(CCCF)C3)C=C2F)[C@H](C)CC4=C1NC5=C4C=CC=C5
Hybrid Flow-Batch Model for the Efficient Synthesis of 2-(Dimethylamino)-6-methylpyridin-4-ol,10.1021/acs.oprd.1c00264,CC1C=C(O)C=C(N(C)C)N=1
An Efficient Second-Generation Manufacturing Process for the pan-RAF Inhibitor Belvarafenib,10.1021/acs.oprd.1c00277,CC1=C(C2=C(C=C1)C(=NC=C2)NC3=C(C(=CC=C3)Cl)F)NC(=O)C4=CSC5=C4N=CN=C5N
Using Oxygen as the Primary Oxidant in a Continuous Process: Application to the Development of an Efficient Route to AZD4635,10.1021/acs.oprd.1c00279,CC1=CC(=CC(=N1)Cl)C2=C(N=C(N=N2)N)C3=CC=C(C=C3)F
A Scalable Synthesis of Roxadustat (FG-4592),10.1021/acs.oprd.1c00281,CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3
"Review of Synthetic Routes and Crystalline Forms of the Oncology Drugs Capmatinib, Selpercatinib, and Pralsetinib",10.1021/acs.oprd.1c00282,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F
"Review of Synthetic Routes and Crystalline Forms of the Oncology Drugs Capmatinib, Selpercatinib, and Pralsetinib",10.1021/acs.oprd.1c00282,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O
"Review of Synthetic Routes and Crystalline Forms of the Oncology Drugs Capmatinib, Selpercatinib, and Pralsetinib",10.1021/acs.oprd.1c00282,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)N[C@@H](C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC
Expedited Kilolab Development of AZD7624 Using Kulinkovich-de Meijere Cyclopropanation,10.1021/acs.oprd.1c00283,CC1=C(C=C(C=C1F)C(=O)NC2CC2)N3C=CN=C(C3=O)NC4(CC4)C5=CC=CC=C5OCCNC
"Process Development, Manufacture, and Understanding of the Atropisomerism and Polymorphism of Verinurad",10.1021/acs.oprd.1c00284,CC(C)(C(=O)O)SC1=C(C=NC=C1)C2=CC=C(C3=CC=CC=C32)C#N
Scalable Synthesis of β-Lactamase Inhibitor QPX7728 by Sequential Nickel-Catalyzed Boron Insertion into a Benzofuran Substrate and Enantioselective Cyclopropanation of the Resulting Vinylboronate,10.1021/acs.oprd.1c00285,B1([C@@H]2C[C@@H]2C3=C(O1)C(=C(C=C3)F)C(=O)O)O
Development of a Scalable Enantioselective Synthesis of JAK Inhibitor Upadacitinib,10.1021/acs.oprd.1c00287,CC[C@@H]1CN(C[C@@H]1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F
"Large-Scale Enantioselective Reduction of 2,3-Disubstituted Indenopyridine Enables a Practical Manufacturing Process for an 11β-HSD-1 Inhibitor",10.1021/acs.oprd.1c00290,C1CN(C(C2C=C3N=CNC3=CC=2)=O)C2C(C3C(C2)=CC=C(C#N)C=3)C1
"Efficient, Protecting Group Free Kilogram-Scale Synthesis of the JAK1 Inhibitor GDC-4379",10.1021/acs.oprd.1c00302,CN(C)C(=O)CN1C=C(C(=N1)C2=C(C=CC(=C2)Cl)OC(F)F)NC(=O)C3=C4N=CC=CN4N=C3
Development of a Kilogram-Scale Route for Clinical Sample Production of the Intravenous Anesthetic Cipepofol,10.1021/acs.oprd.1c00306,C[C@H](C1CC1)C2=CC=CC(=C2O)C(C)C
High-Throughput Experimentation Enabling Rapid Process Optimization of an RSV Drug Candidate,10.1021/acs.oprd.1c00313,CC1N(C(C2C=C(C3CC3)N3C(=CC(C4C(F)=CC(C5C(C(O)=O)C5)=CC=4)=N3)N=2)=O)CCC2C=CC=CC1=2
Sulfone Displacement Approach for Large-Scale Synthesis of 4-Chloro-<i>N</i>-(1-methyl-1<i>H</i>-pyrazol-4-yl)pyrimidin-2-amine,10.1021/acs.oprd.1c00314,CN1N=CC(NC2N=CC=C(Cl)N=2)=C1
"Development of the Enabling Route for a Novel HCV NS3/4A Inhibitor, Furaprevir",10.1021/acs.oprd.1c00315,CC(C)OC1=CC=C(C=C1)C2=NC3=C(C(=N2)O[C@@H]4C[C@H]5C(=O)N[C@@]6(C[C@H]6/C=C\\CCCCC[C@@H](C(=O)N5C4)NC(=O)OC7CCCC7)C(=O)NS(=O)(=O)C8(CC8)C)OC9=CC=CC=C93
Asymmetric Synthesis of the Cyclohexyl Fragment in RORγt Inhibitor (BMS-986251) Enabled by a Dynamic Kinetic Resolution of Hageman’s Ester,10.1021/acs.oprd.1c00339,C(C)1C(C(C2C=CC=CC=2)=O)CCC(C(O)=O)C1
Development of a Scalable Route to a Pyrrolidone Compound via a Hydroxyfuranone,10.1021/acs.oprd.1c00350,CC1N=C2SC(COC)=NN2C=1CN1C(=O)C=C(CCC(F)(F)F)C1
"Scalable Synthesis of <i>N</i>,<i>N</i>′-Di(2,3-dihydroxy-propyl)-1,4-naphthalenedipropanamide and Its 1,4-Endoperoxide as a Singlet Oxygen-Releasing Molecule",10.1021/acs.oprd.1c00364,C1C=C2C(CCC(NCC(O)CO)=O)=CC=C(CCC(NCC(O)CO)=O)C2=CC=1
Stereoselective Nickel(II)-Catalyzed Addition of Aryl Grignards to Diphenylacetylene in the Synthesis of Zuclomiphene,10.1021/acs.oprd.1c00366,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
An Optimized Safe Process from Bench to Pilot cGMP Production of API Eptifibatide Using a Multigram-Scale Microwave-Assisted Solid-Phase Peptide Synthesizer,10.1021/acs.oprd.1c00368,C1C[C@H]2C(=O)N[C@@H](CSSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N
Development of an Improved Route to a Human Immunodeficiency Virus Maturation Inhibitor by Chromium-Free Allylic Oxidation and an Efficient Asymmetric Henry Reaction,10.1021/acs.oprd.1c00374,CC(C1C(=O)CC(C(O)CN(CC2C=CC(Cl)=CC=2)CCN(C)C)2C=1C1C(CC2)(C)C(C)2C(C3(C(CC2)C(C)(C)C(OC(CC(C(O)=O)(C)C)=O)CC3)C)CC1)C
Concise Process for Pyriftalid Synthesis by Introducing the Mercapto Group Directly from a Nitro Group,10.1021/acs.oprd.1c00384,CC1C2=C(C(=CC=C2)SC3=NC(=CC(=N3)OC)OC)C(=O)O1
"Development of a Practical and Greener Process for the Dual Leucine Zipper Kinase Inhibitor GDC-0134 Comprising Two S<sub>N</sub>Ar Reactions, Oxidation and Suzuki Coupling",10.1021/acs.oprd.1c00389,C1CN(CC1(F)F)C2=NC(=CC(=N2)N3C[C@@H]4C[C@H]3CO4)C5=CC(=C(N=C5)N)OC(F)F
"Development of a Practical and Scalable Synthetic Route for the Adenosine Monophosphate-Activated Protein Kinase Activator, ASP4132",10.1021/acs.oprd.1c00392,COC1C=CC(CN2CCC(C3C=CC4N=C(C(N5CCN(CC6C=CC(C(F)(F)F)=CC=6)CC5)=O)NC=4C=3)CC2)=CN=1
Asymmetric Organocatalysis and Continuous Chemistry for an Efficient and Cost-Competitive Process to Pregabalin,10.1021/acs.oprd.1c00394,CC(C)C[C@@H](CC(=O)O)CN
"Development of a Robust Manufacturing Route for Molnupiravir, an Antiviral for the Treatment of COVID-19",10.1021/acs.oprd.1c00400,CC(C)C(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)NO)O)O
High Yielding Continuous-Flow Synthesis of Norketamine,10.1021/acs.oprd.1c00407,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Recent Advances in Photobiocatalysis for Selective Organic Synthesis,10.1021/acs.oprd.1c00413,CC1C=CC(NCC2C3C=CC=CC=3NC=2)=CC=1
Initial Route Scouting and Final Process Development for the Multi-Kg Production of 3-Fluoro-6-methoxyquinoline from <i>p</i>-Anisidine and 2-Fluoromalonic Acid,10.1021/acs.oprd.1c00414,COC1C=CC2N=CC(F)=CC=2C=1
Process Intensive Synthesis of Propofol Enabled by Continuous Flow Chemistry,10.1021/acs.oprd.1c00416,CC(C1C(O)=C(C(C)C)C=CC=1)C
“One-Pot” Synthesis of Molnupiravir from Cytidine,10.1021/acs.oprd.1c00419,CC(C)C(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)NO)O)O
Efficient Multigram-Scale Synthesis of 7-Substituted 3-Methyltetral-1-ones and 6-Fluoromenadione,10.1021/acs.oprd.1c00421,CC1CC(=O)C2C(=CC=C(C)C=2)C1
Multigram Synthesis of Tetrasubstituted Dihydrobenzofuran GSK973 Enabled by High-Throughput Experimentation and a Claisen Rearrangement in Flow,10.1021/acs.oprd.1c00422,CC1OC2C(C(NC)=O)=CC(C(NC3C4C3COC4)=O)=CC=2C1C1C=CC=CC=1
Asymmetric Synthesis of Optically Active 3-Cyclohexene-1-carboxylic Acid Utilizing Lactic Ester as a Chiral Auxiliary in the Diastereoselective Diels–Alder Reaction,10.1021/acs.oprd.1c00430,C1CCC(C(O)=O)CC=1
Modified and Scalable Synthesis of <i>N</i>-Tosyl-4-Chlorobenzenesulfonimidoyl Fluoride (SulfoxFluor): Direct Imidation of Sulfinyl Chlorides with Chloramine-T Trihydrate,10.1021/acs.oprd.1c00431,CC1=CC=C(C=C1)S(=O)(=O)N=S(=O)(C2=CC=C(C=C2)Cl)F
Scaling up a C–H Borylation: Addressing the Safety Concerns of an Iridium-Catalyzed Process for Multikilo Scale Manufacture,10.1021/acs.oprd.1c00432,CC1=CC(=CC(=N1)Cl)C2=C(N=C(N=N2)N)C3=CC=C(C=C3)F
Leveraging High-Throughput Experimentation to Drive Pharmaceutical Route Invention: A Four-Step Commercial Synthesis of Branebrutinib (BMS-986195),10.1021/acs.oprd.1c00443,CC#CC(=O)N[C@H]1CCCN(C1)C2=C(C=C(C3=C2C(=C(N3)C)C)C(=O)N)F
"Development of a Rapid Scale-Up Synthesis of (<i>S</i>)-<i>N</i>-(8-((2-Amino-2,4-dimethylpentyl)oxy)-5<i>H</i>-chromeno[3,4-<i>c</i>]pyridin-2-yl)acetamide, a Potent Adaptor-Associated Kinase 1 Inhibitor",10.1021/acs.oprd.1c00452,CC(CC(N)(COC1C=C2C(C3C(CO2)=CN=C(NC(C)=O)C=3)=CC=1)C)C
"Development of a Scalable Route with Efficient Stereoisomer Control to YZJ-1139, an Orexin Receptor Antagonist",10.1021/acs.oprd.1c00457,CC1=CC(=C(C=C1)C2=NC=CC=N2)C(=O)N3[C@H]4CC[C@H]([C@@H]3CC4)COC5=NC=C(C=C5)F
Recent Progress and Developments in Chemoenzymatic and Biocatalytic Dynamic Kinetic Resolution,10.1021/acs.oprd.1c00463,CNCCC(OC1C2C=CC=CC=2C=CC=1)C1SC=CC=1
Development of Scalable Processes with Underutilized Biocatalyst Classes,10.1021/acs.oprd.1c00467,C1CN(CCC1CN[C@@H]2C[C@H]2C3=CC=CC=C3)CC4=CC=C(C=C4)C(=O)O
"Development of a Commercial Process for Deucravacitinib, a Deuterated API for TYK2 Inhibition",10.1021/acs.oprd.1c00468,[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4
Development of a Continuous Photochemical Bromination/Alkylation Sequence En Route to AMG 423,10.1021/acs.oprd.1c00469,COC(N1CCN(CC2C(F)=C([N+]([O-])=O)C=CC=2)CC1)=O.Br
Development and Scale-Up of a Copper-Catalyzed Sulfamidation Coupling Reaction,10.1021/acs.oprd.1c00475,C[C@H]([C@H](CO)O)OC1=NC(=NC(=C1)NS(=O)(=O)N2CCC2)SCC3=C(C(=CC=C3)F)F
Driving Aspirational Process Mass Intensity Using Simple Structure-Based Prediction,10.1021/acs.oprd.1c00477,C#C[C@]1([C@H](C[C@@H](O1)N2C=NC3=C(N=C(N=C32)F)N)O)CO
Development and Process Intensification of an Efficient Flow–Cascade Reaction Sequence in the Synthesis of Afizagabar,10.1021/acs.oprd.1c00481,CC(O)CC1C=C2NC(OC2=CC=1)=O
"Review of Synthetic Approaches toward the Synthesis of Cariprazine, an Antipsychotic Drug",10.1021/acs.oprd.1c00488,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl
"High-Yield Synthesis of Enantiopure 1,2-Amino Alcohols from <scp>l</scp>-Phenylalanine via Linear and Divergent Enzymatic Cascades",10.1021/acs.oprd.1c00490,C1C=CC(C(N)CO)=CC=1
"Identification, Synthesis, and Comprehension of an Imidazole N-3 Regioisomeric Impurity of Olmesartan Medoxomil Key Intermediate",10.1021/acs.oprd.2c00002,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O
Stereoselective Synthesis of a Tubulysin Core for Antibody–Drug Conjugate Studies,10.1021/acs.oprd.2c00010,CCCN(C(C(NC(C1N(C)CCCC1)=O)C(CC)C)=O)C(C(C)C)CC(C1SC=C(C(OC)=O)N=1)=O
An Efficient Synthesis of the Bicyclic Darunavir Side Chain Using Chemoenzymatic Catalysis,10.1021/acs.oprd.2c00017,C1C2C(O)COC2OC1
